,Fixed Acidity,Volatile Acidity,Citric Acid,Residual Sugar,Chlorides,Free Sulfur Dioxide,Total Sulfur Dioxide,Density,Ph,Sulphates,Alcohol,Quality
397,11.5 g/L,0.59 g/L,0.59 g/L,2.6 g/L,0.087 g/L,13.0 mg/L SO2,49.0 mg/L SO2,0.9988 g/cm³,pH 3.18,0.65 g/L,11.0% vol,Score: 6
398,11.5 g/L,0.59 g/L,0.59 g/L,2.6 g/L,0.087 g/L,13.0 mg/L SO2,49.0 mg/L SO2,0.9988 g/cm³,pH 3.18,0.65 g/L,11.0% vol,Score: 6
399,8.7 g/L,0.765 g/L,0.22 g/L,2.3 g/L,0.064 g/L,9.0 mg/L SO2,42.0 mg/L SO2,0.9963 g/cm³,pH 3.1,0.55 g/L,9.4% vol,Score: 5
400,6.6 g/L,0.735 g/L,0.02 g/L,7.9 g/L,0.122 g/L,68.0 mg/L SO2,124.0 mg/L SO2,0.9994 g/cm³,pH 3.47,0.53 g/L,9.9% vol,Score: 5
401,7.7 g/L,0.26 g/L,0.3 g/L,1.7 g/L,0.059 g/L,20.0 mg/L SO2,38.0 mg/L SO2,0.9949 g/cm³,pH 3.29,0.47 g/L,10.8% vol,Score: 6
402,12.2 g/L,0.48 g/L,0.54 g/L,2.6 g/L,0.085 g/L,19.0 mg/L SO2,64.0 mg/L SO2,1.0 g/cm³,pH 3.1,0.61 g/L,10.5% vol,Score: 6
403,11.4 g/L,0.6 g/L,0.49 g/L,2.7 g/L,0.085 g/L,10.0 mg/L SO2,41.0 mg/L SO2,0.9994 g/cm³,pH 3.15,0.63 g/L,10.5% vol,Score: 6
404,7.7 g/L,0.69 g/L,0.05 g/L,2.7 g/L,0.075 g/L,15.0 mg/L SO2,27.0 mg/L SO2,0.9974 g/cm³,pH 3.26,0.61 g/L,9.1% vol,Score: 5
405,8.7 g/L,0.31 g/L,0.46 g/L,1.4 g/L,0.059 g/L,11.0 mg/L SO2,25.0 mg/L SO2,0.9966 g/cm³,pH 3.36,0.76 g/L,10.1% vol,Score: 6
406,9.8 g/L,0.44 g/L,0.47 g/L,2.5 g/L,0.063 g/L,9.0 mg/L SO2,28.0 mg/L SO2,0.9981 g/cm³,pH 3.24,0.65 g/L,10.8% vol,Score: 6
407,12.0 g/L,0.39 g/L,0.66 g/L,3.0 g/L,0.093 g/L,12.0 mg/L SO2,30.0 mg/L SO2,0.9996 g/cm³,pH 3.18,0.63 g/L,10.8% vol,Score: 7
408,10.4 g/L,0.34 g/L,0.58 g/L,3.7 g/L,0.174 g/L,6.0 mg/L SO2,16.0 mg/L SO2,0.997 g/cm³,pH 3.19,0.7 g/L,11.3% vol,Score: 6
409,12.5 g/L,0.46 g/L,0.49 g/L,4.5 g/L,0.07 g/L,26.0 mg/L SO2,49.0 mg/L SO2,0.9981 g/cm³,pH 3.05,0.57 g/L,9.6% vol,Score: 4
410,9.0 g/L,0.43 g/L,0.34 g/L,2.5 g/L,0.08 g/L,26.0 mg/L SO2,86.0 mg/L SO2,0.9987 g/cm³,pH 3.38,0.62 g/L,9.5% vol,Score: 6
411,9.1 g/L,0.45 g/L,0.35 g/L,2.4 g/L,0.08 g/L,23.0 mg/L SO2,78.0 mg/L SO2,0.9987 g/cm³,pH 3.38,0.62 g/L,9.5% vol,Score: 5
412,7.1 g/L,0.735 g/L,0.16 g/L,1.9 g/L,0.1 g/L,15.0 mg/L SO2,77.0 mg/L SO2,0.9966 g/cm³,pH 3.27,0.64 g/L,9.3% vol,Score: 5
413,9.9 g/L,0.4 g/L,0.53 g/L,6.7 g/L,0.097 g/L,6.0 mg/L SO2,19.0 mg/L SO2,0.9986 g/cm³,pH 3.27,0.82 g/L,11.7% vol,Score: 7
414,8.8 g/L,0.52 g/L,0.34 g/L,2.7 g/L,0.087 g/L,24.0 mg/L SO2,122.0 mg/L SO2,0.9982 g/cm³,pH 3.26,0.61 g/L,9.5% vol,Score: 5
415,8.6 g/L,0.725 g/L,0.24 g/L,6.6 g/L,0.117 g/L,31.0 mg/L SO2,134.0 mg/L SO2,1.0014 g/cm³,pH 3.32,1.07 g/L,9.3% vol,Score: 5
416,10.6 g/L,0.48 g/L,0.64 g/L,2.2 g/L,0.111 g/L,6.0 mg/L SO2,20.0 mg/L SO2,0.997 g/cm³,pH 3.26,0.66 g/L,11.7% vol,Score: 6
417,7.0 g/L,0.58 g/L,0.12 g/L,1.9 g/L,0.091 g/L,34.0 mg/L SO2,124.0 mg/L SO2,0.9956 g/cm³,pH 3.44,0.48 g/L,10.5% vol,Score: 5
418,11.9 g/L,0.38 g/L,0.51 g/L,2.0 g/L,0.121 g/L,7.0 mg/L SO2,20.0 mg/L SO2,0.9996 g/cm³,pH 3.24,0.76 g/L,10.4% vol,Score: 6
419,6.8 g/L,0.77 g/L,0.0 g/L,1.8 g/L,0.066 g/L,34.0 mg/L SO2,52.0 mg/L SO2,0.9976 g/cm³,pH 3.62,0.68 g/L,9.9% vol,Score: 5
420,9.5 g/L,0.56 g/L,0.33 g/L,2.4 g/L,0.089 g/L,35.0 mg/L SO2,67.0 mg/L SO2,0.9972 g/cm³,pH 3.28,0.73 g/L,11.8% vol,Score: 7
421,6.6 g/L,0.84 g/L,0.03 g/L,2.3 g/L,0.059 g/L,32.0 mg/L SO2,48.0 mg/L SO2,0.9952 g/cm³,pH 3.52,0.56 g/L,12.3% vol,Score: 7
422,7.7 g/L,0.96 g/L,0.2 g/L,2.0 g/L,0.047 g/L,15.0 mg/L SO2,60.0 mg/L SO2,0.9955 g/cm³,pH 3.36,0.44 g/L,10.9% vol,Score: 5
423,10.5 g/L,0.24 g/L,0.47 g/L,2.1 g/L,0.066 g/L,6.0 mg/L SO2,24.0 mg/L SO2,0.9978 g/cm³,pH 3.15,0.9 g/L,11.0% vol,Score: 7
424,7.7 g/L,0.96 g/L,0.2 g/L,2.0 g/L,0.047 g/L,15.0 mg/L SO2,60.0 mg/L SO2,0.9955 g/cm³,pH 3.36,0.44 g/L,10.9% vol,Score: 5
425,6.6 g/L,0.84 g/L,0.03 g/L,2.3 g/L,0.059 g/L,32.0 mg/L SO2,48.0 mg/L SO2,0.9952 g/cm³,pH 3.52,0.56 g/L,12.3% vol,Score: 7
426,6.4 g/L,0.67 g/L,0.08 g/L,2.1 g/L,0.045 g/L,19.0 mg/L SO2,48.0 mg/L SO2,0.9949 g/cm³,pH 3.49,0.49 g/L,11.4% vol,Score: 6
427,9.5 g/L,0.78 g/L,0.22 g/L,1.9 g/L,0.077 g/L,6.0 mg/L SO2,32.0 mg/L SO2,0.9988 g/cm³,pH 3.26,0.56 g/L,10.6% vol,Score: 6
428,9.1 g/L,0.52 g/L,0.33 g/L,1.3 g/L,0.07 g/L,9.0 mg/L SO2,30.0 mg/L SO2,0.9978 g/cm³,pH 3.24,0.6 g/L,9.3% vol,Score: 5
429,12.8 g/L,0.84 g/L,0.63 g/L,2.4 g/L,0.088 g/L,13.0 mg/L SO2,35.0 mg/L SO2,0.9997 g/cm³,pH 3.1,0.6 g/L,10.4% vol,Score: 6
430,10.5 g/L,0.24 g/L,0.47 g/L,2.1 g/L,0.066 g/L,6.0 mg/L SO2,24.0 mg/L SO2,0.9978 g/cm³,pH 3.15,0.9 g/L,11.0% vol,Score: 7
431,7.8 g/L,0.55 g/L,0.35 g/L,2.2 g/L,0.074 g/L,21.0 mg/L SO2,66.0 mg/L SO2,0.9974 g/cm³,pH 3.25,0.56 g/L,9.2% vol,Score: 5
432,11.9 g/L,0.37 g/L,0.69 g/L,2.3 g/L,0.078 g/L,12.0 mg/L SO2,24.0 mg/L SO2,0.9958 g/cm³,pH 3.0,0.65 g/L,12.8% vol,Score: 6
433,12.3 g/L,0.39 g/L,0.63 g/L,2.3 g/L,0.091 g/L,6.0 mg/L SO2,18.0 mg/L SO2,1.0004 g/cm³,pH 3.16,0.49 g/L,9.5% vol,Score: 5
434,10.4 g/L,0.41 g/L,0.55 g/L,3.2 g/L,0.076 g/L,22.0 mg/L SO2,54.0 mg/L SO2,0.9996 g/cm³,pH 3.15,0.89 g/L,9.9% vol,Score: 6
435,12.3 g/L,0.39 g/L,0.63 g/L,2.3 g/L,0.091 g/L,6.0 mg/L SO2,18.0 mg/L SO2,1.0004 g/cm³,pH 3.16,0.49 g/L,9.5% vol,Score: 5
436,8.0 g/L,0.67 g/L,0.3 g/L,2.0 g/L,0.06 g/L,38.0 mg/L SO2,62.0 mg/L SO2,0.9958 g/cm³,pH 3.26,0.56 g/L,10.2% vol,Score: 6
437,11.1 g/L,0.45 g/L,0.73 g/L,3.2 g/L,0.066 g/L,6.0 mg/L SO2,22.0 mg/L SO2,0.9986 g/cm³,pH 3.17,0.66 g/L,11.2% vol,Score: 6
438,10.4 g/L,0.41 g/L,0.55 g/L,3.2 g/L,0.076 g/L,22.0 mg/L SO2,54.0 mg/L SO2,0.9996 g/cm³,pH 3.15,0.89 g/L,9.9% vol,Score: 6
439,7.0 g/L,0.62 g/L,0.18 g/L,1.5 g/L,0.062 g/L,7.0 mg/L SO2,50.0 mg/L SO2,0.9951 g/cm³,pH 3.08,0.6 g/L,9.3% vol,Score: 5
440,12.6 g/L,0.31 g/L,0.72 g/L,2.2 g/L,0.072 g/L,6.0 mg/L SO2,29.0 mg/L SO2,0.9987 g/cm³,pH 2.88,0.82 g/L,9.8% vol,Score: 8
441,11.9 g/L,0.4 g/L,0.65 g/L,2.15 g/L,0.068 g/L,7.0 mg/L SO2,27.0 mg/L SO2,0.9988 g/cm³,pH 3.06,0.68 g/L,11.3% vol,Score: 6
442,15.6 g/L,0.685 g/L,0.76 g/L,3.7 g/L,0.1 g/L,6.0 mg/L SO2,43.0 mg/L SO2,1.0032 g/cm³,pH 2.95,0.68 g/L,11.2% vol,Score: 7
443,10.0 g/L,0.44 g/L,0.49 g/L,2.7 g/L,0.077 g/L,11.0 mg/L SO2,19.0 mg/L SO2,0.9963 g/cm³,pH 3.23,0.63 g/L,11.6% vol,Score: 7
444,5.3 g/L,0.57 g/L,0.01 g/L,1.7 g/L,0.054 g/L,5.0 mg/L SO2,27.0 mg/L SO2,0.9934 g/cm³,pH 3.57,0.84 g/L,12.5% vol,Score: 7
445,9.5 g/L,0.735 g/L,0.1 g/L,2.1 g/L,0.079 g/L,6.0 mg/L SO2,31.0 mg/L SO2,0.9986 g/cm³,pH 3.23,0.56 g/L,10.1% vol,Score: 6
446,12.5 g/L,0.38 g/L,0.6 g/L,2.6 g/L,0.081 g/L,31.0 mg/L SO2,72.0 mg/L SO2,0.9996 g/cm³,pH 3.1,0.73 g/L,10.5% vol,Score: 5
447,9.3 g/L,0.48 g/L,0.29 g/L,2.1 g/L,0.127 g/L,6.0 mg/L SO2,16.0 mg/L SO2,0.9968 g/cm³,pH 3.22,0.72 g/L,11.2% vol,Score: 5
448,8.6 g/L,0.53 g/L,0.22 g/L,2.0 g/L,0.1 g/L,7.0 mg/L SO2,27.0 mg/L SO2,0.9967 g/cm³,pH 3.2,0.56 g/L,10.2% vol,Score: 6
449,11.9 g/L,0.39 g/L,0.69 g/L,2.8 g/L,0.095 g/L,17.0 mg/L SO2,35.0 mg/L SO2,0.9994 g/cm³,pH 3.1,0.61 g/L,10.8% vol,Score: 6
450,11.9 g/L,0.39 g/L,0.69 g/L,2.8 g/L,0.095 g/L,17.0 mg/L SO2,35.0 mg/L SO2,0.9994 g/cm³,pH 3.1,0.61 g/L,10.8% vol,Score: 6
451,8.4 g/L,0.37 g/L,0.53 g/L,1.8 g/L,0.413 g/L,9.0 mg/L SO2,26.0 mg/L SO2,0.9979 g/cm³,pH 3.06,1.06 g/L,9.1% vol,Score: 6
452,6.8 g/L,0.56 g/L,0.03 g/L,1.7 g/L,0.084 g/L,18.0 mg/L SO2,35.0 mg/L SO2,0.9968 g/cm³,pH 3.44,0.63 g/L,10.0% vol,Score: 6
453,10.4 g/L,0.33 g/L,0.63 g/L,2.8 g/L,0.084 g/L,5.0 mg/L SO2,22.0 mg/L SO2,0.9998 g/cm³,pH 3.26,0.74 g/L,11.2% vol,Score: 7
454,7.0 g/L,0.23 g/L,0.4 g/L,1.6 g/L,0.063 g/L,21.0 mg/L SO2,67.0 mg/L SO2,0.9952 g/cm³,pH 3.5,0.63 g/L,11.1% vol,Score: 5
455,11.3 g/L,0.62 g/L,0.67 g/L,5.2 g/L,0.086 g/L,6.0 mg/L SO2,19.0 mg/L SO2,0.9988 g/cm³,pH 3.22,0.69 g/L,13.4% vol,Score: 8
456,8.9 g/L,0.59 g/L,0.39 g/L,2.3 g/L,0.095 g/L,5.0 mg/L SO2,22.0 mg/L SO2,0.9986 g/cm³,pH 3.37,0.58 g/L,10.3% vol,Score: 5
457,9.2 g/L,0.63 g/L,0.21 g/L,2.7 g/L,0.097 g/L,29.0 mg/L SO2,65.0 mg/L SO2,0.9988 g/cm³,pH 3.28,0.58 g/L,9.6% vol,Score: 5
458,10.4 g/L,0.33 g/L,0.63 g/L,2.8 g/L,0.084 g/L,5.0 mg/L SO2,22.0 mg/L SO2,0.9998 g/cm³,pH 3.26,0.74 g/L,11.2% vol,Score: 7
459,11.6 g/L,0.58 g/L,0.66 g/L,2.2 g/L,0.074 g/L,10.0 mg/L SO2,47.0 mg/L SO2,1.0008 g/cm³,pH 3.25,0.57 g/L,9.0% vol,Score: 3
460,9.2 g/L,0.43 g/L,0.52 g/L,2.3 g/L,0.083 g/L,14.0 mg/L SO2,23.0 mg/L SO2,0.9976 g/cm³,pH 3.35,0.61 g/L,11.3% vol,Score: 6
461,8.3 g/L,0.615 g/L,0.22 g/L,2.6 g/L,0.087 g/L,6.0 mg/L SO2,19.0 mg/L SO2,0.9982 g/cm³,pH 3.26,0.61 g/L,9.3% vol,Score: 5
462,11.0 g/L,0.26 g/L,0.68 g/L,2.55 g/L,0.085 g/L,10.0 mg/L SO2,25.0 mg/L SO2,0.997 g/cm³,pH 3.18,0.61 g/L,11.8% vol,Score: 5
463,8.1 g/L,0.66 g/L,0.7 g/L,2.2 g/L,0.098 g/L,25.0 mg/L SO2,129.0 mg/L SO2,0.9972 g/cm³,pH 3.08,0.53 g/L,9.0% vol,Score: 5
464,11.5 g/L,0.315 g/L,0.54 g/L,2.1 g/L,0.084 g/L,5.0 mg/L SO2,15.0 mg/L SO2,0.9987 g/cm³,pH 2.98,0.7 g/L,9.2% vol,Score: 6
465,10.0 g/L,0.29 g/L,0.4 g/L,2.9 g/L,0.098 g/L,10.0 mg/L SO2,26.0 mg/L SO2,1.0006 g/cm³,pH 3.48,0.91 g/L,9.7% vol,Score: 5
466,10.3 g/L,0.5 g/L,0.42 g/L,2.0 g/L,0.069 g/L,21.0 mg/L SO2,51.0 mg/L SO2,0.9982 g/cm³,pH 3.16,0.72 g/L,11.5% vol,Score: 6
467,8.8 g/L,0.46 g/L,0.45 g/L,2.6 g/L,0.065 g/L,7.0 mg/L SO2,18.0 mg/L SO2,0.9947 g/cm³,pH 3.32,0.79 g/L,14.0% vol,Score: 6
468,11.4 g/L,0.36 g/L,0.69 g/L,2.1 g/L,0.09 g/L,6.0 mg/L SO2,21.0 mg/L SO2,1.0 g/cm³,pH 3.17,0.62 g/L,9.2% vol,Score: 6
469,8.7 g/L,0.82 g/L,0.02 g/L,1.2 g/L,0.07 g/L,36.0 mg/L SO2,48.0 mg/L SO2,0.9952 g/cm³,pH 3.2,0.58 g/L,9.8% vol,Score: 5
470,13.0 g/L,0.32 g/L,0.65 g/L,2.6 g/L,0.093 g/L,15.0 mg/L SO2,47.0 mg/L SO2,0.9996 g/cm³,pH 3.05,0.61 g/L,10.6% vol,Score: 5
471,9.6 g/L,0.54 g/L,0.42 g/L,2.4 g/L,0.081 g/L,25.0 mg/L SO2,52.0 mg/L SO2,0.997 g/cm³,pH 3.2,0.71 g/L,11.4% vol,Score: 6
472,12.5 g/L,0.37 g/L,0.55 g/L,2.6 g/L,0.083 g/L,25.0 mg/L SO2,68.0 mg/L SO2,0.9995 g/cm³,pH 3.15,0.82 g/L,10.4% vol,Score: 6
473,9.9 g/L,0.35 g/L,0.55 g/L,2.1 g/L,0.062 g/L,5.0 mg/L SO2,14.0 mg/L SO2,0.9971 g/cm³,pH 3.26,0.79 g/L,10.6% vol,Score: 5
474,10.5 g/L,0.28 g/L,0.51 g/L,1.7 g/L,0.08 g/L,10.0 mg/L SO2,24.0 mg/L SO2,0.9982 g/cm³,pH 3.2,0.89 g/L,9.4% vol,Score: 6
475,9.6 g/L,0.68 g/L,0.24 g/L,2.2 g/L,0.087 g/L,5.0 mg/L SO2,28.0 mg/L SO2,0.9988 g/cm³,pH 3.14,0.6 g/L,10.2% vol,Score: 5
476,9.3 g/L,0.27 g/L,0.41 g/L,2.0 g/L,0.091 g/L,6.0 mg/L SO2,16.0 mg/L SO2,0.998 g/cm³,pH 3.28,0.7 g/L,9.7% vol,Score: 5
477,10.4 g/L,0.24 g/L,0.49 g/L,1.8 g/L,0.075 g/L,6.0 mg/L SO2,20.0 mg/L SO2,0.9977 g/cm³,pH 3.18,1.06 g/L,11.0% vol,Score: 6
478,9.6 g/L,0.68 g/L,0.24 g/L,2.2 g/L,0.087 g/L,5.0 mg/L SO2,28.0 mg/L SO2,0.9988 g/cm³,pH 3.14,0.6 g/L,10.2% vol,Score: 5
479,9.4 g/L,0.685 g/L,0.11 g/L,2.7 g/L,0.077 g/L,6.0 mg/L SO2,31.0 mg/L SO2,0.9984 g/cm³,pH 3.19,0.7 g/L,10.1% vol,Score: 6
480,10.6 g/L,0.28 g/L,0.39 g/L,15.5 g/L,0.069 g/L,6.0 mg/L SO2,23.0 mg/L SO2,1.0026 g/cm³,pH 3.12,0.66 g/L,9.2% vol,Score: 5
481,9.4 g/L,0.3 g/L,0.56 g/L,2.8 g/L,0.08 g/L,6.0 mg/L SO2,17.0 mg/L SO2,0.9964 g/cm³,pH 3.15,0.92 g/L,11.7% vol,Score: 8
482,10.6 g/L,0.36 g/L,0.59 g/L,2.2 g/L,0.152 g/L,6.0 mg/L SO2,18.0 mg/L SO2,0.9986 g/cm³,pH 3.04,1.05 g/L,9.4% vol,Score: 5
483,10.6 g/L,0.36 g/L,0.6 g/L,2.2 g/L,0.152 g/L,7.0 mg/L SO2,18.0 mg/L SO2,0.9986 g/cm³,pH 3.04,1.06 g/L,9.4% vol,Score: 5
484,10.6 g/L,0.44 g/L,0.68 g/L,4.1 g/L,0.114 g/L,6.0 mg/L SO2,24.0 mg/L SO2,0.997 g/cm³,pH 3.06,0.66 g/L,13.4% vol,Score: 6
485,10.2 g/L,0.67 g/L,0.39 g/L,1.9 g/L,0.054 g/L,6.0 mg/L SO2,17.0 mg/L SO2,0.9976 g/cm³,pH 3.17,0.47 g/L,10.0% vol,Score: 5
486,10.2 g/L,0.67 g/L,0.39 g/L,1.9 g/L,0.054 g/L,6.0 mg/L SO2,17.0 mg/L SO2,0.9976 g/cm³,pH 3.17,0.47 g/L,10.0% vol,Score: 5
487,10.2 g/L,0.645 g/L,0.36 g/L,1.8 g/L,0.053 g/L,5.0 mg/L SO2,14.0 mg/L SO2,0.9982 g/cm³,pH 3.17,0.42 g/L,10.0% vol,Score: 6
488,11.6 g/L,0.32 g/L,0.55 g/L,2.8 g/L,0.081 g/L,35.0 mg/L SO2,67.0 mg/L SO2,1.0002 g/cm³,pH 3.32,0.92 g/L,10.8% vol,Score: 7
489,9.3 g/L,0.39 g/L,0.4 g/L,2.6 g/L,0.073 g/L,10.0 mg/L SO2,26.0 mg/L SO2,0.9984 g/cm³,pH 3.34,0.75 g/L,10.2% vol,Score: 6
490,9.3 g/L,0.775 g/L,0.27 g/L,2.8 g/L,0.078 g/L,24.0 mg/L SO2,56.0 mg/L SO2,0.9984 g/cm³,pH 3.31,0.67 g/L,10.6% vol,Score: 6
491,9.2 g/L,0.41 g/L,0.5 g/L,2.5 g/L,0.055 g/L,12.0 mg/L SO2,25.0 mg/L SO2,0.9952 g/cm³,pH 3.34,0.79 g/L,13.3% vol,Score: 7
492,8.9 g/L,0.4 g/L,0.51 g/L,2.6 g/L,0.052 g/L,13.0 mg/L SO2,27.0 mg/L SO2,0.995 g/cm³,pH 3.32,0.9 g/L,13.4% vol,Score: 7
493,8.7 g/L,0.69 g/L,0.31 g/L,3.0 g/L,0.086 g/L,23.0 mg/L SO2,81.0 mg/L SO2,1.0002 g/cm³,pH 3.48,0.74 g/L,11.6% vol,Score: 6
494,6.5 g/L,0.39 g/L,0.23 g/L,8.3 g/L,0.051 g/L,28.0 mg/L SO2,91.0 mg/L SO2,0.9952 g/cm³,pH 3.44,0.55 g/L,12.1% vol,Score: 6
495,10.7 g/L,0.35 g/L,0.53 g/L,2.6 g/L,0.07 g/L,5.0 mg/L SO2,16.0 mg/L SO2,0.9972 g/cm³,pH 3.15,0.65 g/L,11.0% vol,Score: 8
496,7.8 g/L,0.52 g/L,0.25 g/L,1.9 g/L,0.081 g/L,14.0 mg/L SO2,38.0 mg/L SO2,0.9984 g/cm³,pH 3.43,0.65 g/L,9.0% vol,Score: 6
497,7.2 g/L,0.34 g/L,0.32 g/L,2.5 g/L,0.09 g/L,43.0 mg/L SO2,113.0 mg/L SO2,0.9966 g/cm³,pH 3.32,0.79 g/L,11.1% vol,Score: 5
498,10.7 g/L,0.35 g/L,0.53 g/L,2.6 g/L,0.07 g/L,5.0 mg/L SO2,16.0 mg/L SO2,0.9972 g/cm³,pH 3.15,0.65 g/L,11.0% vol,Score: 8
499,8.7 g/L,0.69 g/L,0.31 g/L,3.0 g/L,0.086 g/L,23.0 mg/L SO2,81.0 mg/L SO2,1.0002 g/cm³,pH 3.48,0.74 g/L,11.6% vol,Score: 6
500,7.8 g/L,0.52 g/L,0.25 g/L,1.9 g/L,0.081 g/L,14.0 mg/L SO2,38.0 mg/L SO2,0.9984 g/cm³,pH 3.43,0.65 g/L,9.0% vol,Score: 6
501,10.4 g/L,0.44 g/L,0.73 g/L,6.55 g/L,0.074 g/L,38.0 mg/L SO2,76.0 mg/L SO2,0.999 g/cm³,pH 3.17,0.85 g/L,12.0% vol,Score: 7
502,10.4 g/L,0.44 g/L,0.73 g/L,6.55 g/L,0.074 g/L,38.0 mg/L SO2,76.0 mg/L SO2,0.999 g/cm³,pH 3.17,0.85 g/L,12.0% vol,Score: 7
503,10.5 g/L,0.26 g/L,0.47 g/L,1.9 g/L,0.078 g/L,6.0 mg/L SO2,24.0 mg/L SO2,0.9976 g/cm³,pH 3.18,1.04 g/L,10.9% vol,Score: 7
504,10.5 g/L,0.24 g/L,0.42 g/L,1.8 g/L,0.077 g/L,6.0 mg/L SO2,22.0 mg/L SO2,0.9976 g/cm³,pH 3.21,1.05 g/L,10.8% vol,Score: 7
505,10.2 g/L,0.49 g/L,0.63 g/L,2.9 g/L,0.072 g/L,10.0 mg/L SO2,26.0 mg/L SO2,0.9968 g/cm³,pH 3.16,0.78 g/L,12.5% vol,Score: 7
506,10.4 g/L,0.24 g/L,0.46 g/L,1.8 g/L,0.075 g/L,6.0 mg/L SO2,21.0 mg/L SO2,0.9976 g/cm³,pH 3.25,1.02 g/L,10.8% vol,Score: 7
507,11.2 g/L,0.67 g/L,0.55 g/L,2.3 g/L,0.084 g/L,6.0 mg/L SO2,13.0 mg/L SO2,1.0 g/cm³,pH 3.17,0.71 g/L,9.5% vol,Score: 6
508,10.0 g/L,0.59 g/L,0.31 g/L,2.2 g/L,0.09 g/L,26.0 mg/L SO2,62.0 mg/L SO2,0.9994 g/cm³,pH 3.18,0.63 g/L,10.2% vol,Score: 6
509,13.3 g/L,0.29 g/L,0.75 g/L,2.8 g/L,0.084 g/L,23.0 mg/L SO2,43.0 mg/L SO2,0.9986 g/cm³,pH 3.04,0.68 g/L,11.4% vol,Score: 7
510,12.4 g/L,0.42 g/L,0.49 g/L,4.6 g/L,0.073 g/L,19.0 mg/L SO2,43.0 mg/L SO2,0.9978 g/cm³,pH 3.02,0.61 g/L,9.5% vol,Score: 5
511,10.0 g/L,0.59 g/L,0.31 g/L,2.2 g/L,0.09 g/L,26.0 mg/L SO2,62.0 mg/L SO2,0.9994 g/cm³,pH 3.18,0.63 g/L,10.2% vol,Score: 6
512,10.7 g/L,0.4 g/L,0.48 g/L,2.1 g/L,0.125 g/L,15.0 mg/L SO2,49.0 mg/L SO2,0.998 g/cm³,pH 3.03,0.81 g/L,9.7% vol,Score: 6
513,10.5 g/L,0.51 g/L,0.64 g/L,2.4 g/L,0.107 g/L,6.0 mg/L SO2,15.0 mg/L SO2,0.9973 g/cm³,pH 3.09,0.66 g/L,11.8% vol,Score: 7
514,10.5 g/L,0.51 g/L,0.64 g/L,2.4 g/L,0.107 g/L,6.0 mg/L SO2,15.0 mg/L SO2,0.9973 g/cm³,pH 3.09,0.66 g/L,11.8% vol,Score: 7
515,8.5 g/L,0.655 g/L,0.49 g/L,6.1 g/L,0.122 g/L,34.0 mg/L SO2,151.0 mg/L SO2,1.001 g/cm³,pH 3.31,1.14 g/L,9.3% vol,Score: 5
516,12.5 g/L,0.6 g/L,0.49 g/L,4.3 g/L,0.1 g/L,5.0 mg/L SO2,14.0 mg/L SO2,1.001 g/cm³,pH 3.25,0.74 g/L,11.9% vol,Score: 6
517,10.4 g/L,0.61 g/L,0.49 g/L,2.1 g/L,0.2 g/L,5.0 mg/L SO2,16.0 mg/L SO2,0.9994 g/cm³,pH 3.16,0.63 g/L,8.4% vol,Score: 3
518,10.9 g/L,0.21 g/L,0.49 g/L,2.8 g/L,0.088 g/L,11.0 mg/L SO2,32.0 mg/L SO2,0.9972 g/cm³,pH 3.22,0.68 g/L,11.7% vol,Score: 6
519,7.3 g/L,0.365 g/L,0.49 g/L,2.5 g/L,0.088 g/L,39.0 mg/L SO2,106.0 mg/L SO2,0.9966 g/cm³,pH 3.36,0.78 g/L,11.0% vol,Score: 5
520,9.8 g/L,0.25 g/L,0.49 g/L,2.7 g/L,0.088 g/L,15.0 mg/L SO2,33.0 mg/L SO2,0.9982 g/cm³,pH 3.42,0.9 g/L,10.0% vol,Score: 6
521,7.6 g/L,0.41 g/L,0.49 g/L,2.0 g/L,0.088 g/L,16.0 mg/L SO2,43.0 mg/L SO2,0.998 g/cm³,pH 3.48,0.64 g/L,9.1% vol,Score: 5
522,8.2 g/L,0.39 g/L,0.49 g/L,2.3 g/L,0.099 g/L,47.0 mg/L SO2,133.0 mg/L SO2,0.9979 g/cm³,pH 3.38,0.99 g/L,9.8% vol,Score: 5
523,9.3 g/L,0.4 g/L,0.49 g/L,2.5 g/L,0.085 g/L,38.0 mg/L SO2,142.0 mg/L SO2,0.9978 g/cm³,pH 3.22,0.55 g/L,9.4% vol,Score: 5
524,9.2 g/L,0.43 g/L,0.49 g/L,2.4 g/L,0.086 g/L,23.0 mg/L SO2,116.0 mg/L SO2,0.9976 g/cm³,pH 3.23,0.64 g/L,9.5% vol,Score: 5
525,10.4 g/L,0.64 g/L,0.24 g/L,2.8 g/L,0.105 g/L,29.0 mg/L SO2,53.0 mg/L SO2,0.9998 g/cm³,pH 3.24,0.67 g/L,9.9% vol,Score: 5
526,7.3 g/L,0.365 g/L,0.49 g/L,2.5 g/L,0.088 g/L,39.0 mg/L SO2,106.0 mg/L SO2,0.9966 g/cm³,pH 3.36,0.78 g/L,11.0% vol,Score: 5
527,7.0 g/L,0.38 g/L,0.49 g/L,2.5 g/L,0.097 g/L,33.0 mg/L SO2,85.0 mg/L SO2,0.9962 g/cm³,pH 3.39,0.77 g/L,11.4% vol,Score: 6
528,8.2 g/L,0.42 g/L,0.49 g/L,2.6 g/L,0.084 g/L,32.0 mg/L SO2,55.0 mg/L SO2,0.9988 g/cm³,pH 3.34,0.75 g/L,8.7% vol,Score: 6
